Exam_Component_ID,Title,Date_of_Test,Time_of_Test,Building,Room,Instructor,class,class_level
101,Fund Of Chemical Principles I,12-17-2024,6:00PM-8:30PM,FMH,213,Edens,CHEM,121
1,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,111,DePaolo,CHEM,125
3,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,202,DePaolo,CHEM,125
5,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,105,DePaolo,CHEM,125
7,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,LECT 2,DeSantis,CHEM,125
9,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,LECT 2,DeSantis,CHEM,125
11,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,210,DeSantis,CHEM,125
13,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,210,Peels,CHEM,125
15,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,211,Peels,CHEM,125
17,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,211,Peels,CHEM,125
19,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,118,Agarwal,CHEM,125
21,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,106,Agarwal,CHEM,125
23,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,LECT 1,Agarwal,CHEM,125
25,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,LECT 1,Kikhwa,CHEM,125
27,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,113,DeSantis,CHEM,125
29,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,112,Jimenez-Aleman,CHEM,125
31,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,209,Kikhwa,CHEM,125
33,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,108,DePaolo,CHEM,125
35,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,LECT 2,DePaolo,CHEM,125
37,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,117,Ananthanarayanan,CHEM,125
39,General Chemistry I,12-18-2024,8:30AM-11:00AM,TIER,106,Ananthanarayanan,CHEM,125
41,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,117,Koh,CHEM,125
101,General Chemistry I,12-17-2024,6:00PM-8:30PM,KUPF,117,Lee,CHEM,125
103,General Chemistry I,12-16-2024,6:00PM-8:30PM,KUPF,117,McFarlane,CHEM,125
H01,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,205,Balasubramanian,CHEM,125
H03,General Chemistry I,12-18-2024,8:30AM-11:00AM,KUPF,205,Balasubramanian,CHEM,125
1,Gen Chemistry II,12-19-2024,2:30PM-5:00PM,TIER,LECT 1,Koh,CHEM,126
3,Gen Chemistry II,12-19-2024,2:30PM-5:00PM,TIER,LECT 1,Koh,CHEM,126
5,Gen Chemistry II,12-19-2024,2:30PM-5:00PM,KUPF,105,Ananthanarayanan,CHEM,126
7,Gen Chemistry II,12-19-2024,2:30PM-5:00PM,TIER,LECT 1,Koh,CHEM,126
9,Gen Chemistry II,12-19-2024,2:30PM-5:00PM,TIER,LECT 1,Koh,CHEM,126
11,Gen Chemistry II,12-19-2024,2:30PM-5:00PM,TIER,LECT 1,Koh,CHEM,126
101,Gen Chemistry II,12-16-2024,6:00PM-8:30PM,FMH,213,Lee,CHEM,126
1,Analytical Chemistry,12-17-2024,8:30AM-11:00AM,KUPF,202,Edens,CHEM,222
1,Physical Chemistry I,12-20-2024,8:30AM-11:00AM,CULM,110,Peels,CHEM,231
1,Physical Chem For Chem Engrs,12-16-2024,2:30PM-5:00PM,CKB,220,Peels,CHEM,236
1,Organic Chemistry I,12-19-2024,8:30AM-11:00AM,CULM,111,Gund,CHEM,243
3,Organic Chemistry I,12-19-2024,8:30AM-11:00AM,ECEC,115,Champagne,CHEM,243
101,Organic Chemistry I,12-17-2024,6:00PM-8:30PM,TIER,LECT 1,Zhang,CHEM,243
H01,Organic Chemistry I,12-19-2024,8:30AM-11:00AM,CULM,110,DeSantis,CHEM,243
1,Organic Chemistry II,12-19-2024,2:30PM-5:00PM,ME,221,DeSantis,CHEM,244
101,Organic Chemistry II,12-16-2024,6:00PM-8:30PM,KUPF,118,DeSantis,CHEM,244
101,Chemical Technology,12-18-2024,6:00PM-8:30PM,TIER,114,Zhang,CHEM,301
103,Chemical Technology,12-18-2024,6:00PM-8:30PM,TIER,207,Pu,CHEM,301
101,Quantum Chemistry,12-19-2024,6:00PM-8:30PM,TIER,108,Alipour Shakib,CHEM,336
1,Chemistry of Materials,12-20-2024,2:30PM-5:00PM,FMH,110,Eberhart,CHEM,340
1,Environmental Chemistry I,12-16-2024,8:30AM-11:00AM,CKB,310,Khalizov,CHEM,360
